C_incident,From,Node,To,C_Outgoing
458,6,1,92,353
422,44,2,64,416
404,71,3,43,290
269,66,4,97,426
256,37,5,52,259
272,63,6,49,82
237,12,7,57,151
289,42,8,92,231
313,7,9,87,241
287,72,10,84,318
353,17,11,15,348
252,27,12,7,237
492,33,13,76,143
332,48,14,71,283
302,32,15,17,255
302,53,16,22,84
255,15,17,11,353
387,79,18,38,343
279,75,19,53,282
260,27,20,86,198
341,74,21,59,191
84,16,22,94,177
227,91,23,45,235
246,38,24,36,318
350,81,25,61,463
363,65,26,66,423
81,86,27,12,252
352,67,28,93,141
408,3,29,34,321
433,52,30,96,359
270,80,31,89,216
369,45,32,15,302
413,37,33,76,361
321,29,34,83,400
345,20,35,62,380
318,24,36,38,246
385,96,37,5,256
246,36,38,24,246
306,96,39,85,532
389,54,40,64,249
462,71,41,100,221
446,56,42,8,289
290,3,43,46,388
412,50,44,2,422
235,23,45,32,369
377,3,46,14,351
454,98,47,91,580
349,100,48,14,332
82,6,49,92,395
368,73,50,44,412
182,87,51,61,344
259,5,52,96,211
277,79,53,16,302
286,64,54,40,389
179,83,55,12,301
358,80,56,42,446
151,7,57,12,259
307,28,58,61,337
191,21,59,74,275
245,62,60,23,443
337,58,61,81,339
380,35,62,60,245
290,6,63,49,432
249,40,64,54,286
373,26,65,66,249
249,65,66,4,269
466,93,67,28,352
483,69,68,85,219
426,81,69,73,381
222,22,70,88,312
177,100,71,14,312
259,74,72,10,287
381,69,73,50,368
334,21,74,59,182
445,97,75,19,279
143,13,76,33,454
475,98,77,60,343
318,52,78,96,177
318,88,79,53,277
394,31,80,56,358
339,61,81,25,350
474,13,82,95,306
375,57,83,55,179
347,36,84,10,314
479,73,85,68,274
198,20,86,27,81
241,9,87,51,182
244,22,88,94,226
216,31,89,8,465
452,6,90,49,318
176,98,91,23,227
342,6,92,8,296
141,28,93,67,466
216,16,94,22,359
306,82,95,76,551
211,52,96,78,165
414,75,97,56,449
318,23,98,91,176
418,24,99,36,607
221,41,100,71,177
