C_incident,From,Node,To,C_Outgoing
6,48,1,62,4
0,35,2,62,4
0,41,3,154,4
0,12,4,16,0
0,157,5,64,6
0,12,6,15,0
0,125,7,62,4
0,43,8,154,5
11,43,9,154,2
0,118,10,320,0
0,70,11,47,1
0,22,12,4,0
1,118,13,320,0
1,118,14,320,0
0,6,15,142,0
0,4,16,179,0
0,23,17,4,0
0,24,18,4,0
0,38,19,320,0
0,87,20,320,0
0,25,21,4,0
0,30,22,12,0
0,28,23,17,0
0,27,24,18,0
0,124,25,21,0
9,48,26,154,4
0,12,27,24,0
0,12,28,23,0
0,31,29,4,0
0,12,30,22,0
4,113,31,29,0
0,33,32,66,0
0,85,33,32,0
0,12,34,62,4
0,12,35,2,0
0,12,36,2,2
10,41,37,154,5
0,12,38,19,0
0,12,39,264,0
10,43,40,154,2
0,12,41,3,0
0,12,42,91,1
0,12,43,8,0
0,25,44,4,0
0,12,45,8,0
0,66,46,4,0
0,52,47,4,0
0,12,48,94,0
0,68,49,4,0
10,43,50,154,5
0,60,51,47,1
0,90,52,47,0
0,85,53,109,0
0,81,54,320,1
0,89,55,320,1
0,71,56,4,0
0,24,57,65,0
0,112,58,18,0
0,74,59,16,0
0,12,60,51,0
0,12,61,173,1
0,95,62,225,4
0,25,63,4,0
6,5,64,158,6
0,27,65,21,0
0,32,66,46,0
4,124,67,47,0
0,111,68,49,0
0,12,69,173,1
0,12,70,11,0
0,113,71,56,0
1,41,72,154,5
0,12,73,51,0
0,12,74,59,0
11,43,75,154,5
8,22,76,21,0
0,12,77,160,1
0,116,78,320,1
0,12,79,160,2
0,71,80,4,0
0,12,81,54,0
4,140,82,56,0
0,12,83,62,5
0,12,84,188,0
0,12,85,33,0
0,12,86,320,0
0,12,87,20,0
0,12,88,160,1
0,12,89,55,0
0,12,90,52,0
1,35,91,320,1
0,12,92,203,1
0,25,93,4,0
0,48,94,16,0
0,12,95,62,0
0,12,96,203,1
0,12,97,203,1
0,106,98,4,0
0,125,99,62,4
0,12,100,203,2
1,41,101,154,4
1,151,102,225,2
3,129,103,225,5
0,24,104,4,0
0,109,105,21,0
0,81,106,98,0
0,109,107,18,0
1,38,108,320,1
0,53,109,105,0
0,85,110,109,0
0,12,111,68,0
0,12,112,58,0
0,12,113,71,0
0,12,114,33,0
0,12,115,66,0
0,12,116,78,0
0,12,117,59,0
0,12,118,10,0
0,87,119,320,0
0,12,120,105,0
0,12,121,122,4
4,121,122,64,6
0,12,123,25,4
0,12,124,25,0
0,12,125,7,0
0,12,126,273,0
0,35,127,171,1
0,131,128,4,0
2,295,129,16,3
6,129,130,320,1
9,121,131,128,0
1,151,132,320,1
0,24,133,4,0
0,151,134,18,0
0,71,135,4,0
1,42,136,47,0
0,140,137,56,0
0,6,138,4,0
0,143,139,4,0
0,33,140,137,0
4,113,141,32,0
0,15,142,138,0
4,15,143,139,0
0,24,144,4,0
2,87,145,18,0
0,179,146,4,0
0,24,147,4,0
0,25,148,142,0
0,287,149,21,0
5,48,150,171,0
0,24,151,134,0
0,276,152,18,0
0,35,153,2,2
1,39,154,268,2
2,39,155,154,2
6,48,156,171,0
0,71,157,5,0
6,5,158,56,0
0,143,159,4,0
1,77,160,15,1
1,77,161,173,2
0,25,162,4,0
0,164,163,256,0
0,163,164,213,0
3,77,165,173,2
1,77,166,15,1
0,6,167,4,0
10,41,168,154,5
0,131,169,4,0
0,71,170,4,0
0,150,171,4,0
5,164,172,163,1
1,61,173,15,3
0,24,174,4,0
9,129,175,32,1
0,71,176,4,0
3,77,177,15,1
0,71,178,4,0
0,16,179,146,0
9,84,180,18,0
10,16,181,139,0
4,315,182,21,0
8,175,183,15,0
0,4,184,6,0
9,121,185,128,0
2,60,186,16,0
4,157,187,56,0
0,84,188,171,0
10,16,189,18,0
4,16,190,56,0
0,33,191,4,0
0,71,192,4,0
0,48,193,171,1
4,109,194,64,6
10,27,195,64,6
0,25,196,4,0
0,143,197,4,0
1,41,198,154,2
0,6,199,4,0
0,106,200,4,0
0,71,201,4,0
0,24,202,4,0
1,92,203,15,1
2,48,204,108,2
10,43,205,62,4
0,150,206,4,0
0,66,207,4,0
0,71,208,142,0
0,157,209,56,0
0,25,210,238,0
0,151,211,21,0
1,90,212,108,2
0,164,213,4,0
0,150,214,4,0
0,23,215,4,0
0,53,216,4,0
0,143,217,33,0
0,140,218,139,0
0,24,219,4,0
0,252,220,4,0
10,116,221,18,0
0,66,222,4,0
9,48,223,154,4
0,31,224,4,0
2,102,225,132,6
0,227,226,252,0
0,15,227,226,0
0,87,228,225,5
0,71,229,4,0
6,151,230,56,0
10,16,231,184,0
0,32,232,140,0
3,129,233,56,0
1,77,234,21,0
6,66,235,139,0
0,15,236,138,0
0,85,237,98,0
0,210,238,56,0
10,27,239,18,0
0,143,240,4,0
0,33,241,292,0
0,85,242,32,0
0,31,243,4,0
6,48,244,47,0
5,77,245,171,0
10,5,246,46,0
10,16,247,163,0
10,5,248,171,0
4,315,249,17,0
10,3,250,109,0
0,281,251,18,0
0,226,252,220,0
9,163,253,46,0
4,48,254,29,0
7,129,255,56,0
0,163,256,139,0
6,71,257,29,0
0,68,258,4,0
0,252,259,4,0
0,118,260,320,1
1,116,261,320,1
0,25,262,4,0
2,39,263,154,4
0,39,264,154,2
0,131,265,4,0
0,24,266,4,0
0,60,267,16,0
1,39,268,154,4
0,71,269,4,0
4,287,270,49,0
4,210,271,220,0
0,16,272,21,0
0,126,273,128,0
4,111,274,18,0
0,276,275,56,0
0,25,276,152,0
0,287,277,21,0
0,131,278,4,0
3,70,279,16,0
0,126,280,128,0
0,24,281,251,0
4,15,282,18,0
0,125,283,320,1
0,227,284,4,0
10,87,285,226,0
1,39,286,154,2
0,25,287,149,0
0,27,288,21,0
0,68,289,4,0
6,179,290,49,0
0,143,291,142,0
0,241,292,139,0
0,71,293,4,0
0,113,294,56,0
1,42,295,129,2
0,60,296,16,1
1,35,297,129,2
0,24,298,4,0
0,287,299,18,0
6,295,300,129,2
2,39,301,62,5
0,143,302,137,0
6,31,303,139,0
0,68,304,4,0
0,32,305,49,0
0,52,306,4,0
0,71,307,4,0
10,16,308,47,0
0,315,309,56,0
0,31,310,4,0
0,163,311,29,0
5,129,312,47,0
0,31,313,4,0
3,129,314,29,0
0,24,315,309,0
4,124,316,18,0
0,318,317,4,0
10,16,318,317,0
0,24,319,149,0
0,10,320,4,0
0,22,321,4,0
10,157,322,320,0
2,100,323,12,0
