C_incident,From,Node,To,C_Outgoing
0,2,1,11,0
0,5,2,1,0
0,14,3,20,2
0,18,4,76,0
0,17,5,2,0
4,31,6,76,0
0,17,7,66,0
0,17,8,124,1
0,17,9,84,0
0,17,10,150,2
0,1,11,270,2
0,17,12,53,0
0,17,13,42,0
0,17,14,3,0
0,68,15,83,8
0,121,16,83,8
0,62,17,5,0
0,19,18,4,0
4,67,19,18,0
0,197,20,102,2
0,121,21,83,8
0,17,22,91,0
0,24,23,279,0
0,158,24,23,0
0,44,25,76,0
0,66,26,5,0
0,75,27,5,0
0,54,28,83,8
0,46,29,5,0
0,19,30,5,0
0,17,31,34,0
4,182,32,76,0
0,2,33,250,0
0,31,34,1,0
0,116,35,20,4
0,64,36,76,0
0,17,37,371,0
0,81,38,5,0
0,17,39,371,1
0,75,40,5,0
0,231,41,83,8
0,13,42,234,1
0,133,43,83,8
0,17,44,25,0
0,67,45,76,0
0,363,46,29,0
0,19,47,5,0
0,49,48,144,0
0,212,49,48,0
0,24,50,313,0
0,69,51,23,0
0,75,52,5,0
0,12,53,76,0
0,17,54,28,0
0,128,55,234,0
0,85,56,5,0
0,81,57,5,0
0,133,58,114,6
0,2,59,5,0
0,17,60,28,0
0,44,61,29,0
4,168,62,17,0
0,137,63,234,1
0,17,64,36,0
0,67,65,76,0
0,7,66,26,0
0,17,67,45,0
0,17,68,15,0
0,17,69,51,0
0,46,70,5,0
0,17,71,83,2
0,97,72,5,0
0,17,73,83,1
0,225,74,20,5
4,67,75,27,0
0,4,76,29,0
0,151,77,18,0
0,148,78,20,5
0,138,79,76,0
0,44,80,114,6
0,200,81,38,0
0,148,82,27,0
0,93,83,18,0
0,9,84,27,0
10,48,85,56,0
0,152,86,38,0
0,190,87,1,0
0,18,88,29,0
0,98,89,5,0
0,148,90,20,5
0,22,91,83,8
0,44,92,114,6
0,17,93,83,0
0,75,94,97,0
0,163,95,27,0
0,210,96,20,2
0,94,97,72,0
0,143,98,89,0
0,68,99,28,5
0,44,100,83,5
0,215,101,28,2
0,197,102,20,4
0,19,103,5,0
0,49,104,5,0
0,191,105,18,0
0,94,106,48,0
0,231,107,83,6
0,110,108,332,0
0,156,109,76,0
0,17,110,108,0
0,24,111,5,0
0,421,112,20,5
0,171,113,23,0
0,345,114,318,8
0,17,115,83,5
0,17,116,35,0
0,210,117,20,5
0,225,118,83,5
0,211,119,234,1
0,17,120,145,0
0,17,121,16,0
0,194,122,270,2
0,98,123,5,0
0,322,124,234,1
0,18,125,89,0
0,2,126,53,0
0,180,127,1,0
0,17,128,55,0
0,17,129,35,0
0,17,130,142,0
0,17,131,142,0
0,17,132,83,8
0,17,133,43,0
0,17,134,43,0
0,17,135,43,1
0,17,136,114,6
0,17,137,63,0
0,81,138,79,0
0,162,139,38,0
0,116,140,20,5
0,116,141,20,5
0,130,142,20,5
0,4,143,98,0
0,48,144,76,0
0,120,145,332,1
0,19,146,5,0
0,185,147,18,0
0,17,148,78,0
0,46,149,5,0
0,168,150,29,0
0,17,151,77,0
0,17,152,86,0
0,46,153,5,0
0,164,154,29,0
0,17,155,20,2
0,17,156,109,0
0,46,157,5,0
0,17,158,24,0
0,17,159,97,0
0,17,160,390,4
0,17,161,72,10
0,17,162,139,0
0,17,163,95,0
0,17,164,154,0
0,17,165,4,0
0,17,166,259,4
0,17,167,4,0
0,17,168,150,0
0,289,169,83,6
0,189,170,29,0
0,17,171,113,0
0,173,172,5,0
0,182,173,172,0
0,17,174,108,0
0,17,175,15,0
0,46,176,5,0
0,203,177,29,0
0,17,178,20,4
0,75,179,5,0
0,17,180,127,0
0,17,181,45,0
0,81,182,173,0
0,196,183,38,0
0,173,184,5,0
0,17,185,147,0
0,22,186,27,0
0,189,187,172,0
0,17,188,84,0
0,17,189,170,0
0,17,190,87,0
0,17,191,105,0
0,19,192,5,0
0,269,193,18,0
0,17,194,122,0
0,17,195,25,0
0,17,196,183,0
0,17,197,20,0
0,17,198,35,0
0,17,199,35,0
0,2,200,81,0
0,17,201,23,0
0,17,202,20,5
0,17,203,177,0
0,17,204,25,0
0,17,205,56,10
0,1,206,33,0
0,325,207,29,1
0,254,208,76,0
0,17,209,25,0
0,17,210,96,0
0,17,211,119,0
0,17,212,49,0
0,197,213,20,4
0,17,214,78,0
0,17,215,101,0
0,225,216,332,0
0,17,217,96,0
0,17,218,78,0
0,194,219,332,1
0,133,220,114,6
0,17,221,91,0
0,17,222,142,0
0,17,223,142,0
0,17,224,145,0
0,17,225,74,0
0,121,226,332,0
0,289,227,83,6
0,44,228,332,0
0,75,229,5,0
0,44,230,234,0
0,17,231,41,0
0,243,232,5,0
0,245,233,5,0
0,55,234,5,0
0,269,235,83,6
0,17,236,20,0
0,62,237,5,0
0,173,238,5,0
0,49,239,5,0
0,98,240,5,0
0,231,241,83,5
0,292,242,27,0
0,302,243,232,0
0,211,244,234,0
0,344,245,233,0
0,19,246,5,0
0,137,247,320,2
0,5,248,234,0
0,306,249,17,0
0,33,250,172,0
0,299,251,48,0
0,200,252,89,0
0,351,253,76,0
0,75,254,208,0
0,185,255,27,0
0,265,256,5,0
0,66,257,5,0
0,269,258,83,6
0,358,259,18,0
0,17,260,122,0
0,291,261,76,0
0,269,262,83,6
0,243,263,170,0
0,267,264,232,0
0,306,265,256,0
0,340,266,26,0
0,46,267,264,0
0,68,268,83,6
0,17,269,193,0
0,1,270,29,1
0,75,271,5,0
0,279,272,5,0
0,49,273,5,0
0,189,274,27,0
0,24,275,374,0
0,329,276,23,0
0,17,277,20,0
0,49,278,5,0
0,23,279,272,0
0,164,280,48,0
0,17,281,15,0
0,17,282,206,0
0,17,283,41,0
0,343,284,48,0
0,17,285,2,0
0,17,286,43,0
0,19,287,5,0
0,17,288,147,0
0,17,289,169,0
0,17,290,11,0
0,17,291,261,0
0,55,292,242,0
0,17,293,250,0
0,267,294,234,0
0,148,295,20,4
0,17,296,43,0
0,17,297,169,0
0,17,298,193,0
0,17,299,251,0
0,17,300,114,6
0,17,301,25,0
0,17,302,243,0
0,49,303,5,0
0,17,304,154,0
0,81,305,5,0
0,17,306,249,0
0,81,307,5,0
0,17,308,16,0
0,97,309,5,0
0,17,310,193,0
0,254,311,18,0
4,143,312,48,0
0,50,313,38,0
0,377,314,38,0
0,331,315,72,0
0,75,316,5,0
0,279,317,5,0
0,13,318,27,0
0,347,319,272,0
0,378,320,29,3
0,400,321,76,0
0,17,322,124,0
0,17,323,74,0
0,49,324,5,0
0,17,325,207,0
4,143,326,48,0
0,17,327,264,0
0,17,328,208,0
0,17,329,276,0
0,17,330,74,0
0,17,331,315,0
0,108,332,5,0
0,350,333,332,0
0,19,334,5,0
0,17,335,119,0
0,17,336,313,0
0,17,337,25,0
1,12,338,23,1
0,120,339,83,5
0,17,340,266,0
0,17,341,276,0
0,17,342,279,0
0,17,343,284,0
0,17,344,245,0
0,17,345,42,0
0,17,346,63,0
0,17,347,319,0
0,17,348,249,0
0,17,349,276,0
0,17,350,333,0
0,17,351,253,0
0,17,352,83,0
0,19,353,5,0
0,55,354,5,0
0,368,355,18,0
0,398,356,234,0
0,17,357,83,0
