Cost_in,From_Node,Node,To_Node,Cost_out
239237,443,1,572,263386
6319,202,2,466,17689
9968,176,3,424,13811
42388,199,4,276,76934
50876,299,5,591,57911
52104,206,6,374,74808
69515,184,7,626,75122
29839,86,8,276,86807
4744,173,9,171,6116
2828,516,10,190,6742
27359,96,11,153,34476
42501,389,12,549,43320
86769,142,13,152,87444
174619,475,14,314,246937
27356,508,15,454,28884
43632,109,16,321,51610
32079,461,17,457,137388
0,19,18,290,73956
0,18,19,290,73956
85314,574,20,442,87324
15417,509,21,61,20544
25396,97,22,81,36362
34346,436,23,140,73184
38325,263,24,597,43935
241,118,25,91,2255
26569,520,26,319,30381
32390,45,27,100,84440
122843,423,28,443,140051
7087,511,29,191,77974
2592,595,30,157,8489
78915,315,31,586,89864
4988,310,32,628,12058
27975,637,33,355,49535
5670,48,34,193,9205
22243,143,35,87,51643
89081,233,36,125,107477
44999,634,37,232,169930
4620,548,38,188,11767
75028,124,39,222,79331
10988,632,40,65,15692
7015,473,41,401,15374
45008,103,42,211,380083
6544,44,43,413,6690
2099,269,44,313,3082
32390,27,45,534,77266
42839,578,46,324,77918
64872,215,47,214,65015
5670,34,48,43,12075
8239,593,49,580,78812
125082,211,50,592,275589
7749,385,51,379,10280
1908,229,52,347,4769
13518,347,53,356,14028
3585,196,54,598,3702
9716,220,55,602,77991
929,452,56,122,1575
10939,322,57,67,13393
39364,341,58,68,46771
0,585,59,392,115691
160554,484,60,627,162417
9369,509,61,343,14063
151388,479,62,69,152513
19658,282,63,478,32624
150423,71,64,590,218052
13000,88,65,40,15692
26802,40,66,88,27867
13393,57,67,568,17299
25717,450,68,481,28957
35481,479,69,590,83824
28669,482,70,556,29649
75393,590,71,282,120114
31851,182,72,205,58301
19174,470,73,374,102447
14033,325,74,335,27902
3471,396,75,188,70173
1713,553,76,139,4759
112387,292,77,291,160072
23287,639,78,265,30298
49151,571,79,267,73614
44356,240,80,265,59592
6068,97,81,226,9032
57346,540,82,128,58728
22331,640,83,643,31623
109898,251,84,427,156757
61658,183,85,414,62564
29839,8,86,276,112330
37064,15,87,35,51643
13000,65,88,596,18603
4599,519,89,357,4833
41594,108,90,331,43112
2255,25,91,118,2523
66414,565,92,449,123350
4016,111,93,642,4345
105270,123,94,99,117595
16951,387,95,394,187745
27359,11,96,168,53951
6068,81,97,226,13754
128439,542,98,449,163396
30047,123,99,506,44357
82402,45,100,27,84440
32547,187,101,243,58113
4306,449,102,92,124981
45008,42,103,631,370371
6922,360,104,346,20066
10908,383,105,377,16221
237363,377,106,38,241096
7264,603,107,452,20464
41594,90,108,331,74687
43632,16,109,471,55530
96812,512,110,100,162010
4016,93,111,642,7421
72418,288,112,476,146939
8462,491,113,464,21146
202894,623,114,165,273425
22050,274,115,492,22114
51768,546,116,274,100402
3461,504,117,213,4859
241,25,118,91,2523
6615,311,119,543,132581
1090,465,120,493,58218
2700,641,121,312,49667
685,307,122,56,1575
30047,99,123,506,38637
8100,222,124,615,43297
88849,411,125,36,107477
7405,531,126,301,85635
111730,279,127,375,125269
36642,540,128,350,41072
8161,504,129,117,8967
46419,602,130,217,68310
43283,335,131,235,44220
19995,273,132,177,43832
44326,530,133,301,50092
18927,317,134,566,95122
34699,414,135,221,62211
3587,155,136,410,18816
1678,552,137,437,6136
18444,539,138,271,38126
3705,553,139,76,4759
45602,275,140,23,73184
140052,309,141,271,142509
86769,13,142,538,95761
22243,35,143,508,44010
10568,521,144,611,56347
45063,570,145,302,46220
29226,244,146,167,30176
14550,628,147,32,24012
59193,222,148,124,64241
32683,308,149,541,34753
33887,428,150,367,83040
3372,269,151,44,4180
87444,13,152,142,100440
34476,11,153,96,61148
41156,645,154,431,46593
3587,136,155,410,20079
24855,202,156,2,27167
2228,438,157,595,3814
3366,163,158,499,242311
5785,258,159,319,45518
106956,486,160,367,126440
15823,520,161,26,35221
55795,567,162,570,60487
3366,158,163,499,241555
2490,246,164,646,5446
273425,114,165,623,278620
46194,630,166,606,57253
8019,280,167,146,30176
22442,312,168,96,53951
23007,333,169,249,25981
