C_incident,From,Node,To,C_Outgoing
307,30,1,18,330
98,41,2,54,137
158,35,3,10,217
806,50,4,53,947
260,27,5,23,324
124,26,6,19,138
785,31,7,38,1686
209,22,8,55,436
130,25,9,13,147
75,35,10,52,80
455,39,11,29,673
248,57,12,27,257
135,40,13,9,147
137,37,14,33,176
262,34,15,37,528
693,11,16,22,932
114,36,17,26,129
114,44,18,1,330
138,6,19,26,178
537,32,20,53,634
520,29,21,36,524
209,8,22,55,359
324,5,23,57,432
259,58,24,44,452
125,40,25,9,130
124,6,26,17,129
184,43,27,12,257
189,6,28,14,224
274,36,29,3,287
211,13,30,40,257
785,7,31,38,901
190,25,32,9,228
176,14,33,45,213
229,46,34,37,257
75,10,35,52,107
114,17,36,26,243
137,14,37,34,257
544,42,38,31,901
287,3,39,35,329
125,25,40,13,135
98,2,41,35,148
544,38,42,31,1445
184,27,43,12,279
114,18,44,1,367
213,33,45,46,273
229,34,46,56,254
72,51,47,49,86
192,41,48,2,194
86,47,49,51,97
446,53,50,4,806
72,47,51,49,97
80,10,52,51,102
446,50,53,20,634
112,55,54,2,137
112,54,55,2,234
254,46,56,34,300
248,12,57,23,432
259,24,58,44,522
