C_incident,From,Node,To,C_Outgoing
229,19,1,2,273
273,1,2,15,334
140,5,3,25,155
370,11,4,42,387
140,3,5,32,182
182,8,6,34,188
138,47,7,14,173
177,47,8,6,182
177,10,9,23,197
130,40,10,9,177
96,16,11,4,370
165,22,12,18,238
90,28,13,22,100
90,18,14,38,115
225,21,15,48,236
96,11,16,1,334
123,35,17,24,180
90,14,18,38,205
229,1,19,37,346
214,31,20,35,390
189,43,21,15,225
100,13,22,28,107
197,9,23,3,285
166,35,24,17,180
155,3,25,32,161
129,29,26,48,231
347,44,27,37,357
90,13,28,22,107
129,26,29,32,197
326,23,30,9,482
214,20,31,17,235
154,28,32,25,161
312,5,33,21,318
83,36,34,6,188
123,17,35,24,166
83,34,36,47,220
330,1,37,19,346
115,14,38,7,178
145,45,39,46,290
130,10,40,9,220
231,22,41,24,238
371,11,42,16,371
189,21,43,15,252
347,27,44,39,534
145,39,45,46,229
229,45,46,39,290
138,7,47,8,177
216,24,48,26,231
