Cost_in,From_Node,Node,To_Node,Cost_out
9,324,1,153,11
2,3,2,39,3
2,2,3,38,3
3,38,4,3,4
2,6,5,12,3
2,5,6,8,3
5,6,7,9,5
3,6,8,9,3
3,8,9,7,5
4,3,10,11,4
4,5,11,6,4
3,5,12,13,4
3,29,13,12,4
3,15,14,27,3
3,14,15,21,4
3,19,16,17,4
4,16,17,18,5
3,19,18,17,5
3,16,19,18,3
3,19,20,6,4
4,13,21,15,4
2,34,22,23,4
3,31,23,22,4
3,31,24,23,4
4,24,25,26,4
4,25,26,31,5
3,14,27,28,4
3,14,28,27,4
3,13,29,30,5
4,22,30,35,4
3,23,31,24,3
2,45,32,41,3
2,34,33,22,4
2,22,34,33,2
3,34,35,30,4
2,37,36,5,3
2,36,37,41,3
3,3,38,4,3
3,2,39,3,4
3,38,40,37,4
3,32,41,37,3
2,172,42,43,3
2,47,43,42,3
4,40,44,43,4
2,32,45,52,3
2,51,46,44,4
2,43,47,48,2
2,47,48,174,3
3,55,49,56,3
2,55,50,47,3
2,46,51,50,3
3,45,52,53,4
3,54,53,69,3
3,53,54,55,3
2,50,55,49,3
2,71,56,49,3
2,181,57,72,3
2,68,58,59,3
2,60,59,58,3
2,59,60,61,3
3,60,61,66,3
4,65,62,61,5
4,24,63,62,5
4,65,64,63,5
4,62,65,64,4
3,61,66,67,3
2,76,67,66,3
2,58,68,60,3
3,53,69,58,3
3,53,70,69,3
2,56,71,55,3
3,56,72,57,3
3,93,73,94,3
4,65,74,84,5
4,77,75,67,5
2,67,76,78,4
3,79,77,75,4
2,90,78,76,4
3,77,79,75,5
3,81,80,100,3
2,101,81,80,3
4,81,82,101,6
5,88,83,87,6
5,74,84,85,6
4,86,85,84,6
3,87,86,85,4
3,86,87,83,6
5,83,88,87,11
4,104,89,101,9
2,78,90,91,4
2,92,91,70,4
2,91,92,70,6
2,94,93,73,3
2,93,94,73,3
3,97,95,98,4
2,98,96,94,3
3,95,97,98,3
2,96,98,97,3
2,103,99,100,3
3,80,100,99,3
2,81,101,80,5
4,103,102,99,5
2,99,103,102,4
4,89,104,105,5
5,104,105,89,9
2,154,106,108,5
2,110,107,108,3
3,107,108,109,3
3,108,109,154,4
2,107,110,108,4
3,115,111,108,4
3,113,112,117,4
2,163,113,112,3
3,176,114,110,5
3,111,115,114,5
3,120,116,112,5
3,113,117,112,4
3,179,118,114,5
4,123,119,116,5
3,116,120,117,4
3,125,121,165,3
3,123,122,126,4
3,122,123,127,3
4,129,124,130,4
3,121,125,133,4
4,122,126,123,4
3,123,127,128,3
1,186,128,127,3
2,130,129,124,4
2,129,130,131,3
3,130,131,132,3
3,131,132,124,4
4,125,133,132,4
2,145,134,140,4
4,133,135,136,4
4,135,136,137,6
5,143,137,149,5
3,151,138,137,7
4,165,139,166,5
3,141,140,134,4
3,140,141,145,4
2,171,142,145,4
4,149,143,137,5
4,146,144,170,6
2,134,145,141,4
4,144,146,142,5
3,148,147,228,4
3,147,148,228,4
4,143,149,137,5
6,147,150,149,6
3,138,151,137,6
5,222,152,149,6
6,155,153,106,7
2,106,154,109,4
4,157,155,153,6
5,162,156,163,5
4,155,157,161,6
3,159,158,400,5
3,158,159,481,5
2,161,160,481,3
2,160,161,164,4
3,164,162,156,5
2,113,163,112,4
3,162,164,161,4
3,121,165,125,4
3,169,166,139,5
5,166,167,168,5
2,170,168,480,3
3,166,169,171,4
2,168,170,171,5
2,142,171,169,4
2,42,172,173,3
